//map_name	range	scope	range_IN	rotationFrom	rotationTo	rotation_IN	altitudeFrom	altitudeTo	altitude_IN
//ex_fild00.rsw#	200#	600#	450#	-360#	360#	 0#	-15#	-65#	-60#
// -- ! double right-click won't return to default view ! --
//maplist.js from ratemyserver.net 
06guild_01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
06guild_02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
06guild_03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
06guild_04.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
06guild_05.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
06guild_06.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
06guild_07.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
06guild_08.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
06guild_r.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
1@cash.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
1@cata.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
1@def01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
1@def02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
1@def03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
1@dth1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
1@dth2.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
1@dth3.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
1@ecl.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
1@eom.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
1@face.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
1@ge_st.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
1@gef.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
1@gef_in.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
1@gl_k.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
1@jtb.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
1@lhz.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
1@ma_b.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
1@ma_c.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
1@ma_h.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
1@mist.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
1@nyd.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
1@orcs.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
1@pump.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
1@rev.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
1@sara.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
1@spa.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
1@tnm1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
1@tnm2.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
1@tnm3.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
1@tower.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
1@xm_d.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
2009rwc_01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
2009rwc_02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
2009rwc_03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
2009rwc_04.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
2009rwc_05.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
2009rwc_06.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
2009rwc_07.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
2009rwc_08.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
2009rwc_f01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
2009rwc_f02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
2009rwc_r.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
2010rwc_01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
2010rwc_02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
2010rwc_03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
2010rwc_04.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
2010rwc_05.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
2010rwc_06.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
2010rwc_07.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
2010rwc_08.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
2010rwc_r.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
2@cata.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
2@gl_k.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
2@nyd.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
2@orcs.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
2@pump.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
2@tower.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
3@tower.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
4@tower.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
5@tower.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
6@tower.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
abbey01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
abbey02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
